"DIFF","R2","R7","R8","R17","R22","R32"
"0",0.705,0.29,0.4826,0.0481,1.3598,0.2941
"1",0.893,0.201,0.137,0.0509,0.1191,0.4505
"1",0.832,0.418,0.2637,0.0468,0.09821,0.407
"0",0,1.291,0.9018,0.0681,0.1335,0.3574
"1",0.801,0.213,0.5284,0.0186,0.14,0.3005
"0",0.172,0.989,0.9594,0.0843,0.35,0.1661
"1",0.591,0.429,0.1653,0.08,0.1909,0.4126
"0",0.373,0.346,0.3665,0.0812,0.1904,0.2265
"0",0,1.417,0.6406,0.0501,0.3247,0.1086
"0",0.0884,0.841,0.9596,0.114,0.4818,0.1217
"1",0.697,0.794,0.06879,0.0805,0.2606,0.4313
"0",0.216,0.491,0.7936,0.0999,1.3125,0.2323
"0",0.292,1.23,0.2124,0.0997,0.3196,0.1716
"1",0.937,0.174,0.3227,0.0552,0.7,0.4505
"1",0.693,0.932,0.3581,0.0412,0.5753,0.2388
"1",0.687,0.459,0.837,0.0847,0.3371,0.4071
"1",0.725,0.469,0.09674,0.0458,0.738,0.3102
"1",0.782,0.631,0.398,0.0664,0.2021,0.3098
"0",0.195,1.351,0.2492,0.109,0.2041,0.04117
"0",0,0.909,0.1587,0.094,0.7752,0.07789
"0",0.0989,0.991,1.8494,0.107,0.3292,0.1678
"0",0.107,0.807,0.4106,0.0579,0.3947,0.05513
"1",0.795,0.271,0.0749,0.0286,0.8034,0.4816
"0",0,1.073,0.4464,0.0506,0.1706,0.2818
"1",0.672,0.312,0.113,0.0394,0.7585,0.3597
"1",0.809,0.344,0.1391,0.0685,0.5392,0.3681
"0",0.753,0.595,0.6652,0.0958,0.3738,0.2307
"0",0,0.669,0.8797,0.0428,0.8878,0.05513
"1",0.685,0.842,0.3709,0.0539,0.2354,0.1578
"1",0.724,0.263,1.8494,0.0879,1.0179,0.3031
"0",0.0352,0.793,1.6745,0.0675,0.4419,0.1532
"0",0.391,0.27,0.1436,0.0377,0.5436,0.2195
"1",0.497,0.432,0.4024,0.114,0.5191,0.1499
"1",0.395,0.776,0.3152,0.0443,0.1405,0.4313
"0",0.62,0.592,0.1819,0.06,0.2155,0.3831
"0",0.759,0.399,0.2267,0.0482,0.231,0.1882
"1",0.614,0.673,0.1569,0.0226,0.4307,0.3474
"0",0.479,0.993,0.2003,0.0707,0.09821,0.09128
"1",0.646,0.478,0.04883,0.0489,0.3938,0.05612
"1",0.677,0.534,0.6961,0.0816,0.7001,0.2493
"0",0,0.414,0.6166,0.0929,0.1476,0.1966
